PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
23,https://solvemymedia.com/compress-video,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/dght-alfidyo
https://solvemymedia.com/compress-video
https://solvemymedia.com/compress-video
https://solvemymedia.com/cs/komprimovat-video
https://solvemymedia.com/da/komprimer-video
https://solvemymedia.com/de/video-komprimieren
https://solvemymedia.com/el/symnpiesost-video
https://solvemymedia.com/es/comprimir-video
https://solvemymedia.com/fi/pakkaa-video
https://solvemymedia.com/fr/compresser-la-video
https://solvemymedia.com/he/dchisot-video
https://solvemymedia.com/hi/video-compress-kare
https://solvemymedia.com/hu/video-tomoritese
https://solvemymedia.com/id/kompres-video
https://solvemymedia.com/it/comprimi-video
https://solvemymedia.com/ja/bideowoya-suo-suru
https://solvemymedia.com/ko/bidio-apchuk
https://solvemymedia.com/ms/mampat-video
https://solvemymedia.com/nl/video-comprimeren
https://solvemymedia.com/no/komprimere-video
https://solvemymedia.com/pl/kompresuj-wideo
https://solvemymedia.com/pt/comprimir-video
https://solvemymedia.com/ro/comprima-video
https://solvemymedia.com/ru/szhat-video
https://solvemymedia.com/sk/komprimovat-video
https://solvemymedia.com/sv/komprimera-video
https://solvemymedia.com/th/ko-op-wideo
https://solvemymedia.com/tr/video-sikistir
https://solvemymedia.com/uk/sty-snuti-video
https://solvemymedia.com/vi/nen-video
https://solvemymedia.com/zh/ya-suo-shi-pin","404
200
200
200
404
200
404
200
200
200
404
404
200
200
404
200
404
404
200
200
404
404
200
404
404
200
404
404
404
200
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",926993157700666916,84,84
23,https://solvemymedia.com/create-gif,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/anshaaa-gif
https://solvemymedia.com/create-gif
https://solvemymedia.com/create-gif
https://solvemymedia.com/cs/vytvorit-gif
https://solvemymedia.com/da/opret-gif
https://solvemymedia.com/de/gif-erstellen
https://solvemymedia.com/el/dimioyrgia-gif
https://solvemymedia.com/es/crear-gif
https://solvemymedia.com/fi/luo-gif
https://solvemymedia.com/fr/creer-un-gif
https://solvemymedia.com/he/tzor-gif
https://solvemymedia.com/hi/gif-banaye
https://solvemymedia.com/hu/gif-letrehozasa
https://solvemymedia.com/id/membuat-gif
https://solvemymedia.com/it/crea-gif
https://solvemymedia.com/ja/gifwozuo-cheng
https://solvemymedia.com/ko/gif-mandeulgi
https://solvemymedia.com/ms/buat-gif
https://solvemymedia.com/nl/gif-maken
https://solvemymedia.com/no/lag-gif
https://solvemymedia.com/pl/stworz-gif
https://solvemymedia.com/pt/criar-gif
https://solvemymedia.com/ro/creeaza-gif
https://solvemymedia.com/ru/sozdat-gif
https://solvemymedia.com/sk/vytvorit-gif
https://solvemymedia.com/sv/skapa-gif
https://solvemymedia.com/th/sang-gif
https://solvemymedia.com/tr/gif-olustur
https://solvemymedia.com/uk/stvoriti-gif
https://solvemymedia.com/vi/tao-gif
https://solvemymedia.com/zh/chuang-jian-gif","404
200
200
200
404
200
200
200
200
200
404
404
200
200
404
200
200
200
200
404
404
200
404
404
404
200
404
200
200
404
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",17321000843242609092,78,78
23,https://solvemymedia.com/convert-video,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/thwyl-alfidyo
https://solvemymedia.com/convert-video
https://solvemymedia.com/convert-video
https://solvemymedia.com/cs/konvertovat-video
https://solvemymedia.com/da/konverter-video
https://solvemymedia.com/de/video-konvertieren
https://solvemymedia.com/el/metaporpe-video
https://solvemymedia.com/es/convertir-video
https://solvemymedia.com/fi/muunna-video
https://solvemymedia.com/fr/convertir-une-video
https://solvemymedia.com/he/hmr-video
https://solvemymedia.com/hi/video-convert-kare
https://solvemymedia.com/hu/video-konvertalasa
https://solvemymedia.com/id/mengkonversi-video
https://solvemymedia.com/it/converti-video
https://solvemymedia.com/ja/bideowobian-huan-suru
https://solvemymedia.com/ko/bidio-byeonhwan
https://solvemymedia.com/ms/tukar-video
https://solvemymedia.com/nl/video-converteren
https://solvemymedia.com/no/konvertere-video
https://solvemymedia.com/pl/konwertuj-wideo
https://solvemymedia.com/pt/converter-video
https://solvemymedia.com/ro/converteste-video
https://solvemymedia.com/ru/konvertirovat-video
https://solvemymedia.com/sk/konvertovat-video
https://solvemymedia.com/sv/konvertera-video
https://solvemymedia.com/th/pli-an-wideo
https://solvemymedia.com/tr/video-donustur
https://solvemymedia.com/uk/konvertuvati-video
https://solvemymedia.com/vi/chuyen-doi-video
https://solvemymedia.com/zh/zhuan-huan-shi-pin","404
200
200
404
404
200
404
200
404
200
404
404
200
200
404
200
200
404
200
200
200
200
404
200
404
200
404
404
200
200
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",3718947784658654109,80,80
23,https://solvemymedia.com/transcribe,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/nasg-alsawt
https://solvemymedia.com/cs/prepsat
https://solvemymedia.com/da/transskriber
https://solvemymedia.com/de/transkribieren
https://solvemymedia.com/el/apografos
https://solvemymedia.com/es/transcribir
https://solvemymedia.com/fi/litteroi
https://solvemymedia.com/fr/transcrire
https://solvemymedia.com/he/taktur
https://solvemymedia.com/hi/transcript-kare
https://solvemymedia.com/hu/atiratas
https://solvemymedia.com/id/menuliskan
https://solvemymedia.com/it/trascrivi
https://solvemymedia.com/ja/zhuan-xie-suru
https://solvemymedia.com/ko/teuksi-keurib
https://solvemymedia.com/ms/transkripsi
https://solvemymedia.com/nl/transcriberen
https://solvemymedia.com/no/transkriben
https://solvemymedia.com/pl/transkrybuj
https://solvemymedia.com/pt/transcrever
https://solvemymedia.com/ro/transcrie
https://solvemymedia.com/ru/transkribirovat
https://solvemymedia.com/sk/prepis
https://solvemymedia.com/sv/transkribera
https://solvemymedia.com/th/thod-siang
https://solvemymedia.com/tr/metne-donustur
https://solvemymedia.com/transcribe
https://solvemymedia.com/transcribe
https://solvemymedia.com/uk/transkriba
https://solvemymedia.com/vi/sao-chep-am-thanh
https://solvemymedia.com/zh/zhuan-lu","404
200
404
200
404
200
404
200
404
404
404
200
404
200
404
200
200
404
404
200
200
404
404
200
404
404
200
200
404
404
404","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",18018002683997770484,90,90
23,https://solvemymedia.com/compress-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/dght-alsawt
https://solvemymedia.com/compress-audio
https://solvemymedia.com/compress-audio
https://solvemymedia.com/cs/komprimovat-audio
https://solvemymedia.com/da/komprimer-lyd
https://solvemymedia.com/de/audio-komprimieren
https://solvemymedia.com/el/symnpiesost-audio
https://solvemymedia.com/es/comprimir-audio
https://solvemymedia.com/fi/pakkaa-audio
https://solvemymedia.com/fr/compresser-laudio
https://solvemymedia.com/he/dchisot-audio
https://solvemymedia.com/hi/audio-compress-kare
https://solvemymedia.com/hu/hang-tomoritese
https://solvemymedia.com/id/kompres-audio
https://solvemymedia.com/it/comprimi-audio
https://solvemymedia.com/ja/odeiowoya-suo-suru
https://solvemymedia.com/ko/odio-apchuk
https://solvemymedia.com/ms/mampat-audio
https://solvemymedia.com/nl/audio-comprimeren
https://solvemymedia.com/no/komprimere-lyd
https://solvemymedia.com/pl/kompresuj-audio
https://solvemymedia.com/pt/comprimir-audio
https://solvemymedia.com/ro/comprima-audio
https://solvemymedia.com/ru/szhat-audio
https://solvemymedia.com/sk/komprimovat-audio
https://solvemymedia.com/sv/komprimera-ljud
https://solvemymedia.com/th/ko-op-audio
https://solvemymedia.com/tr/ses-sikistir
https://solvemymedia.com/uk/sty-snuti-audio
https://solvemymedia.com/vi/nen-am-thanh
https://solvemymedia.com/zh/ya-suo-yin-pin","404
200
200
404
404
200
404
200
404
200
404
404
404
200
404
200
404
404
200
200
404
200
200
404
404
200
404
404
404
200
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",15751597338238142846,88,88
23,https://solvemymedia.com/recorder,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/mjl-alshashat
https://solvemymedia.com/cs/zaznamnik
https://solvemymedia.com/da/optager
https://solvemymedia.com/de/recorder
https://solvemymedia.com/el/egrafos
https://solvemymedia.com/es/grabadora
https://solvemymedia.com/fi/tallennus
https://solvemymedia.com/fr/enregistreur
https://solvemymedia.com/he/mekolet
https://solvemymedia.com/hi/recorder
https://solvemymedia.com/hu/felvetel
https://solvemymedia.com/id/perekam
https://solvemymedia.com/it/registratore
https://solvemymedia.com/ja/rekoda
https://solvemymedia.com/ko/rikhoda
https://solvemymedia.com/ms/perakam
https://solvemymedia.com/nl/recorder
https://solvemymedia.com/no/opptak
https://solvemymedia.com/pl/rejestrator
https://solvemymedia.com/pt/gravador
https://solvemymedia.com/recorder
https://solvemymedia.com/recorder
https://solvemymedia.com/ro/inregistrator
https://solvemymedia.com/ru/zapis
https://solvemymedia.com/sk/zaznamnik
https://solvemymedia.com/sv/inspelning
https://solvemymedia.com/th/banthuek
https://solvemymedia.com/tr/ekran-kaydet
https://solvemymedia.com/uk/zapis-ekrana
https://solvemymedia.com/vi/may-ghi-am
https://solvemymedia.com/zh/lu-zhi","404
200
200
200
404
200
404
200
404
404
404
200
200
200
404
200
404
404
200
404
200
200
404
404
404
404
404
404
404
200
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",13053328488067442562,90,90
23,https://solvemymedia.com/video-to-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/fidyo-ila-sawt
https://solvemymedia.com/cs/video-na-audio
https://solvemymedia.com/da/video-til-lyd
https://solvemymedia.com/de/video-zu-audio
https://solvemymedia.com/el/video-se-audio
https://solvemymedia.com/es/video-a-audio
https://solvemymedia.com/fi/video-audioksi
https://solvemymedia.com/fr/video-en-audio
https://solvemymedia.com/he/video-leaudio
https://solvemymedia.com/hi/video-se-audio
https://solvemymedia.com/hu/video-hanggya
https://solvemymedia.com/id/video-ke-audio
https://solvemymedia.com/it/video-in-audio
https://solvemymedia.com/ja/bideokaraodeiohe
https://solvemymedia.com/ko/bidio-eseo-odio
https://solvemymedia.com/ms/video-ke-audio
https://solvemymedia.com/nl/video-naar-audio
https://solvemymedia.com/no/video-til-lyd
https://solvemymedia.com/pl/wideo-na-audio
https://solvemymedia.com/pt/video-para-audio
https://solvemymedia.com/ro/video-la-audio
https://solvemymedia.com/ru/video-v-audio
https://solvemymedia.com/sk/video-na-audio
https://solvemymedia.com/sv/video-till-ljud
https://solvemymedia.com/th/wideo-phen-siang
https://solvemymedia.com/tr/videodan-ses
https://solvemymedia.com/uk/video-v-audio
https://solvemymedia.com/vi/video-sang-am-thanh
https://solvemymedia.com/video-to-audio
https://solvemymedia.com/video-to-audio
https://solvemymedia.com/zh/shi-pin-zhuan-yin-pin","404
404
200
200
404
200
404
200
404
404
404
200
200
200
404
404
200
200
404
200
404
200
404
200
404
404
200
404
200
200
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",15900650683568568810,84,84
23,https://solvemymedia.com/convert-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/thwyl-alsawt
https://solvemymedia.com/convert-audio
https://solvemymedia.com/convert-audio
https://solvemymedia.com/cs/konvertovat-audio
https://solvemymedia.com/da/konverter-lyd
https://solvemymedia.com/de/audio-konvertieren
https://solvemymedia.com/el/metaporpe-audio
https://solvemymedia.com/es/convertir-audio
https://solvemymedia.com/fi/muunna-audio
https://solvemymedia.com/fr/convertir-laudio
https://solvemymedia.com/he/hmr-audio
https://solvemymedia.com/hi/audio-convert-kare
https://solvemymedia.com/hu/hang-konvertalasa
https://solvemymedia.com/id/mengkonversi-audio
https://solvemymedia.com/it/converti-audio
https://solvemymedia.com/ja/odeiowobian-huan-suru
https://solvemymedia.com/ko/odio-byeonhwan
https://solvemymedia.com/ms/tukar-audio
https://solvemymedia.com/nl/audio-converteren
https://solvemymedia.com/no/konvertere-lyd
https://solvemymedia.com/pl/konwertuj-audio
https://solvemymedia.com/pt/converter-audio
https://solvemymedia.com/ro/converteste-audio
https://solvemymedia.com/ru/konvertirovat-audio
https://solvemymedia.com/sk/konvertovat-audio
https://solvemymedia.com/sv/konvertera-ljud
https://solvemymedia.com/th/pli-an-audio
https://solvemymedia.com/tr/ses-donustur
https://solvemymedia.com/uk/konvertuvati-audio
https://solvemymedia.com/vi/chuyen-doi-am-thanh
https://solvemymedia.com/zh/zhuan-huan-yin-pin","404
200
200
404
404
200
404
200
404
200
404
404
404
200
404
200
200
404
200
200
404
200
404
200
404
200
404
404
200
200
200","Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",9570318248645165765,84,84
22,https://solvemymedia.com/ja/rekoda,"画面と音声レコーダー - 無料のスタジオ録音 - SolveMyMedia
SolveMyMedia - Free Online Media Optimization Tools",text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/mjl-alshashat
https://solvemymedia.com/ar/msjl
https://solvemymedia.com/cs/zaznamnik
https://solvemymedia.com/da/optager
https://solvemymedia.com/de/recorder
https://solvemymedia.com/el/egrafos
https://solvemymedia.com/el/mihanima-eggrafis
https://solvemymedia.com/es/grabadora
https://solvemymedia.com/fi/tallennin
https://solvemymedia.com/fi/tallennus
https://solvemymedia.com/fr/enregistreur
https://solvemymedia.com/he/maqliyt
https://solvemymedia.com/he/mekolet
https://solvemymedia.com/hi/recorder
https://solvemymedia.com/hi/rikonrddr
https://solvemymedia.com/hu/felvetel
https://solvemymedia.com/hu/felvevo
https://solvemymedia.com/id/perekam
https://solvemymedia.com/it/registratore
https://solvemymedia.com/ja/rekoda
https://solvemymedia.com/ko/giroggye
https://solvemymedia.com/ko/rikhoda
https://solvemymedia.com/ms/perakam
https://solvemymedia.com/nl/opnameapparaat
https://solvemymedia.com/nl/recorder
https://solvemymedia.com/no/opptak
https://solvemymedia.com/no/opptaker
https://solvemymedia.com/pl/rejestrator
https://solvemymedia.com/pt/gravador
https://solvemymedia.com/pt/gravadora
https://solvemymedia.com/recorder
https://solvemymedia.com/recorder
https://solvemymedia.com/ro/inregistrator
https://solvemymedia.com/ro/recorder
https://solvemymedia.com/ru/diktofon
https://solvemymedia.com/ru/zapis
https://solvemymedia.com/sk/zaznamnik
https://solvemymedia.com/sv/inspelare
https://solvemymedia.com/sv/inspelning
https://solvemymedia.com/th/banthuek
https://solvemymedia.com/th/ekhruuengbanthuek
https://solvemymedia.com/tr/ekran-kaydet
https://solvemymedia.com/tr/kaydedici
https://solvemymedia.com/uk/diktofon
https://solvemymedia.com/uk/zapis-ekrana
https://solvemymedia.com/vi/may-ghi-am
https://solvemymedia.com/zh/lu-yin-ji
https://solvemymedia.com/zh/lu-zhi","404
200
200
200
200
404
200
200
200
404
200
404
404
404
200
404
200
200
200
200
200
404
200
200
404
404
200
200
404
200
200
200
404
200
200
404
404
200
404
404
200
404
200
200
404
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",774500295674417905,45,45
22,https://solvemymedia.com/es/grabadora,"Grabador de pantalla y audio: grabación de estudio gratuita - SolveMyMedia
SolveMyMedia - Free Online Media Optimization Tools",text/html; charset=utf-8,false,200,0,true,"https://solvemymedia.com/ar/mjl-alshashat
https://solvemymedia.com/ar/msjl
https://solvemymedia.com/cs/zaznamnik
https://solvemymedia.com/da/optager
https://solvemymedia.com/de/recorder
https://solvemymedia.com/el/egrafos
https://solvemymedia.com/el/mihanima-eggrafis
https://solvemymedia.com/es/grabadora
https://solvemymedia.com/fi/tallennin
https://solvemymedia.com/fi/tallennus
https://solvemymedia.com/fr/enregistreur
https://solvemymedia.com/he/maqliyt
https://solvemymedia.com/he/mekolet
https://solvemymedia.com/hi/recorder
https://solvemymedia.com/hi/rikonrddr
https://solvemymedia.com/hu/felvetel
https://solvemymedia.com/hu/felvevo
https://solvemymedia.com/id/perekam
https://solvemymedia.com/it/registratore
https://solvemymedia.com/ja/rekoda
https://solvemymedia.com/ko/giroggye
https://solvemymedia.com/ko/rikhoda
https://solvemymedia.com/ms/perakam
https://solvemymedia.com/nl/opnameapparaat
https://solvemymedia.com/nl/recorder
https://solvemymedia.com/no/opptak
https://solvemymedia.com/no/opptaker
https://solvemymedia.com/pl/rejestrator
https://solvemymedia.com/pt/gravador
https://solvemymedia.com/pt/gravadora
https://solvemymedia.com/recorder
https://solvemymedia.com/recorder
https://solvemymedia.com/ro/inregistrator
https://solvemymedia.com/ro/recorder
https://solvemymedia.com/ru/diktofon
https://solvemymedia.com/ru/zapis
https://solvemymedia.com/sk/zaznamnik
https://solvemymedia.com/sv/inspelare
https://solvemymedia.com/sv/inspelning
https://solvemymedia.com/th/banthuek
https://solvemymedia.com/th/ekhruuengbanthuek
https://solvemymedia.com/tr/ekran-kaydet
https://solvemymedia.com/tr/kaydedici
https://solvemymedia.com/uk/diktofon
https://solvemymedia.com/uk/zapis-ekrana
https://solvemymedia.com/vi/may-ghi-am
https://solvemymedia.com/zh/lu-yin-ji
https://solvemymedia.com/zh/lu-zhi","404
200
200
200
200
404
200
200
200
404
200
404
404
404
200
404
200
200
200
200
200
404
200
200
404
404
200
200
404
200
200
200
404
200
200
404
404
200
404
404
200
404
200
200
404
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not returning 200 status code",774500295674417905,45,45
